省市,地市,区县,SITENAME,macroEnbId,站址,站型,厂家,设备类型,Lon,Lat,传输带宽,传输IP配置,Cell,ECI,PCI,TAC,EARFCN,Azimuth,ANT_BEAM_WIDTH,预制电下倾,机械下倾角,挂高,PA,PB,RsPower,合路方式,单双路,原有室分系统,CellClass,通过时间,接入网优平台信息是否准确,录入资管平台信息是否准确,MRR是否可以开启,站间距,RRU数,批次,报告顺序
北京,北京市,门头沟,70824,70824,北京市,宏站,中兴,,116.102431,39.938561,,,18130952,18130952,13,4116,40936,150,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,6
北京,北京市,海淀,70858,70858,北京市,宏站,中兴,,116.275171,39.973711,,,18139659,18139659,204,4566,38400,60,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,5
北京,北京市,昌平,71116,71116,北京市,宏站,中兴,,116.382291,40.058741,,,18205709,18205709,326,4417,38400,270,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,6
北京,北京市,西城,71515,71515,北京市,宏站,中兴,,116.351116,39.891825,,,18307851,18307851,373,4141,38400,70,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,5
北京,北京市,西城,71520,71520,北京市,宏站,中兴,,116.373911,39.888321,,,18309132,18309132,104,4112,38400,180,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,6
北京,北京市,西城,71691,71691,北京市,宏站,中兴,,116.341851,39.872772,,,18352907,18352907,321,4111,38400,60,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,5
北京,北京市,海淀,71860,71860,北京市,宏站,中兴,,116.296511,39.893941,,,18396171,18396171,145,4180,38400,30,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,5
北京,北京市,房山,72009,72009,北京市,宏站,中兴,,116.146461,39.735141,,,18434315,18434315,423,4113,38400,30,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,5
北京,北京市,丰台,72090,72090,北京市,宏站,中兴,,116.239231,39.887981,,,18455052,18455052,332,4461,38400,180,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,6
北京,北京市,大兴,72113,72113,北京市,宏站,华为,,116.331792,39.778644,,,18460939,18460939,192,4463,38355,60,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,5
